6,16,31
57,22,90
98,62,26
85,17,10
24,51,16
90,74,24
35,35,58
96,37,24
14,27,72
2,65,33
42,91,84
2,89,71
97,8,46
81,53,39
94,4,73
19,42,36
13,42,8
88,5,26
35,70,20
29,31,84
49,34,20
94,70,84
67,66,82
37,24,48
56,83,64
41,90,17
49,39,19
94,28,87
89,58,33
70,55,59
23,25,80
37,75,26
62,80,77
58,59,80
77,76,98
91,76,21
39,83,45
24,25,67
11,78,68
41,11,41
87,51,37
21,4,2
5,22,45
24,60,50
7,77,92
53,64,33
57,40,31
77,50,16
82,33,66
16,24,76
87,26,17
36,94,46
60,66,9
92,87,79
38,38,62
41,21,3
6,44,73
22,34,62
43,32,71
91,41,32
35,7,96
8,17,27
79,57,7
15,82,56
69,87,47
29,74,3
28,23,24
34,22,18
31,50,15
92,89,29
73,24,92
37,27,95
2,16,50
22,89,35
62,5,16
80,12,59
90,82,2
1,7,63
9,7,14
40,68,28
64,71,13
90,37,63
94,93,23
54,23,41
3,69,3
4,61,41
60,90,12
85,52,13
77,21,15
50,83,5
39,95,63
76,55,78
83,4,44
31,41,70
9,51,62
51,30,22
59,43,91
29,79,32
4,7,50
64,42,39
80,68,27
94,16,48
31,72,29
35,74,60
91,20,72
6,56,73
54,30,73
46,91,58
24,98,48
1,15,8
82,79,26
72,14,82
48,68,57
67,51,4
78,5,82
87,22,42
70,24,91
50,98,91
5,61,69
44,83,11
44,46,13
93,25,65
20,10,81
53,94,96
25,84,96
93,95,10
30,30,34
35,20,31
45,58,45
62,42,98
16,58,2
12,44,63
68,42,78
50,54,69
97,47,79
85,87,26
72,83,70
6,27,52
78,8,95
18,38,6
27,11,13
11,60,80
14,65,70
52,33,57
64,84,58
68,55,9
48,84,91
4,82,76
35,97,49
15,78,69
72,27,4
17,29,58
97,6,83
38,81,88
71,4,38
29,39,45
17,34,19
28,71,31
24,53,13
30,51,3
37,52,15
23,71,1
65,74,22
34,71,41
77,91,15
91,61,34
45,10,47
86,76,28
98,12,28
43,61,58
3,25,36
24,48,9
68,17,61
57,82,67
75,93,78
11,62,15
24,7,30
58,73,90
50,44,68
80,38,32
91,58,78
49,64,49
6,27,37
63,39,30
60,85,24
1,51,57
2,35,6
74,42,77
13,18,32
40,62,1
58,80,21
20,80,45
9,11,87
63,84,24
90,16,13
38,76,40
37,72,83
61,88,63
30,21,46
97,75,23
94,89,47
60,3,10
18,56,74
24,51,61
94,34,27
67,28,26
27,77,15
81,16,78
35,12,35
31,31,2
45,28,77
44,92,8
75,97,37
86,61,50
35,32,56
36,96,92
42,37,37
14,68,89
42,93,70
68,13,11
34,5,76
66,62,18
62,72,53
29,75,43
55,64,31
85,12,40
86,90,28
66,79,65
26,61,65
94,22,23
82,61,72
41,41,23
20,90,44
5,68,11
12,17,98
22,24,96
97,89,80
46,15,35
78,5,83
53,10,86
76,49,87
8,96,56
19,50,10
82,83,21
78,56,61
38,3,50
34,5,55
62,70,35
72,9,76
92,67,36
66,16,97
56,74,78
10,1,83
86,31,18
23,22,84
54,5,47
31,70,67
36,92,5
80,87,43
69,49,15
27,7,21
50,23,4
4,87,3
10,25,69
67,92,15
63,36,80
56,20,7
63,68,63
61,15,41
56,41,92
32,44,67
83,69,87
63,92,32
44,65,43
77,24,98
4,81,74
26,59,13
45,84,77
63,60,78
51,32,53
64,69,69
59,80,73
93,2,95
30,57,41
26,1,90
46,68,69
81,1,93
18,12,47
87,16,53
2,98,42
95,35,82
54,86,81
32,13,66
77,41,54
86,2,58
86,77,51
1,19,50
77,75,62
15,79,93
16,47,66
87,35,11
3,40,42
86,38,54
52,80,69
46,64,20
18,15,74
74,80,4
38,26,42
63,76,94
85,68,29
91,34,97
18,12,16
26,77,66
68,64,51
17,43,72
64,2,41
49,92,9
32,52,58
28,36,64
13,75,58
19,4,27
94,30,52
12,54,82
59,32,47
40,57,40
42,9,10
49,31,92
95,41,87
86,73,23
63,32,45
66,21,40
16,75,72
70,69,11
90,9,69
34,89,98
79,60,74
10,3,92
85,22,7
83,30,14
38,83,32
43,25,27
69,16,33
72,93,73
23,7,35
98,35,29
81,30,67
12,47,4
67,91,25
33,96,41
38,91,1
66,53,67
62,28,60
89,50,69
29,75,88
66,35,86
39,79,88
68,70,40
45,80,56
13,39,27
24,64,78
59,51,46
12,78,88
19,71,36
8,54,4
59,88,10
54,34,29
23,62,24
6,78,43
45,17,79
47,68,56
91,39,23
9,22,88
34,86,81
3,11,71
49,15,41
18,27,53
61,1,82
93,54,1
7,7,34
71,44,51
10,43,6
87,93,16
82,83,81
4,78,16
87,60,68
36,50,12
1,18,20
37,46,23
86,21,56
7,92,60
63,18,36
39,83,78
36,83,68
8,75,64
9,39,12
89,42,67
56,39,53
21,21,5
75,66,20
89,34,28
65,29,7
29,52,16
7,97,91
8,80,75
